seID,SrcIp,DstIp,SrcPort,DstPort,ulVolume,dlVolume,totalVolume,ulPacket,dlPacket,totalPacket,timestamp
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:07
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:07
2587,170524674,134744072,0,0,281203953,281203953,281203953,7529,7421,14950,2025-01-19 01:44:07
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:10
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:10
2587,170524674,134744072,0,0,290715096,290715096,290715096,7784,7672,15456,2025-01-19 01:44:10
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:13
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:13
2587,170524674,134744072,0,0,299998881,299998881,299998881,8036,7917,15953,2025-01-19 01:44:13
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:16
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:16
2587,170524674,134744072,0,0,310457349,310457349,310457349,8298,8193,16491,2025-01-19 01:44:16
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:19
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:19
2587,170524674,134744072,0,0,319589562,319589562,319589562,8548,8434,16982,2025-01-19 01:44:19
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:22
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:22
2587,170524674,134744072,0,0,329403849,329403849,329403849,8805,8693,17498,2025-01-19 01:44:22
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:25
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:25
2587,170524674,134744072,0,0,338649741,338649741,338649741,9055,8937,17992,2025-01-19 01:44:25
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:28
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:28
2587,170524674,134744072,0,0,348236670,348236670,348236670,9312,9190,18502,2025-01-19 01:44:28
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:31
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:31
2587,170524674,134744072,0,0,358884603,358884603,358884603,9568,9471,19039,2025-01-19 01:44:31
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:34
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:34
2587,170524674,134744072,0,0,367562100,367562100,367562100,9825,9700,19525,2025-01-19 01:44:34
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:37
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:37
2587,170524674,134744072,0,0,377679531,377679531,377679531,10077,9967,20044,2025-01-19 01:44:37
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:40
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:40
2587,170524674,134744072,0,0,387039102,387039102,387039102,10334,10214,20548,2025-01-19 01:44:40
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:43
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:43
2587,170524674,134744072,0,0,395906064,395906064,395906064,10586,10448,21034,2025-01-19 01:44:43
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:46
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:46
2587,170524674,134744072,0,0,404128845,404128845,404128845,10754,10665,21419,2025-01-19 01:44:46
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:49
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:49
2587,170524674,134744072,0,0,412389519,412389519,412389519,11021,10883,21904,2025-01-19 01:44:49
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:52
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:52
2587,170524674,134744072,0,0,421862769,421862769,421862769,11270,11133,22403,2025-01-19 01:44:52
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:55
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:55
2587,170524674,134744072,0,0,431411805,431411805,431411805,11526,11385,22911,2025-01-19 01:44:55
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:44:58
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:44:58
2587,170524674,134744072,0,0,441150306,441150306,441150306,11786,11642,23428,2025-01-19 01:44:58
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:45:01
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:45:01
2587,170524674,134744072,0,0,450282519,450282519,450282519,12043,11883,23926,2025-01-19 01:45:01
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:45:04
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:45:04
2587,170524674,134744072,0,0,459983127,459983127,459983127,12300,12139,24439,2025-01-19 01:45:04
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:45:07
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:45:07
2587,170524674,134744072,0,0,470062665,470062665,470062665,12549,12405,24954,2025-01-19 01:45:07
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:45:10
2587,170524674,2170660929,54571,5201,3991733023,3991733023,3991733023,47637,91714,139351,2025-01-19 01:45:10
2587,170524674,134744072,0,0,479801166,479801166,479801166,12809,12662,25471,2025-01-19 01:45:10
2587,170524674,2170660929,52059,5201,198656,198656,198656,16,14,30,2025-01-19 01:45:13
